No ,ID ,,Attack ,,,,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,Start ,Time ,(sec) ,
31 ,A217 ,AP22 ,P1-TC-SP1-LT ,P1_B4002 - ,,20:12 ,505 ,
32 ,A218 ,AP07 ,P1-PC-CO1-ST ,P1_PCV01D ,,22:41 ,214 ,
33 ,A219 ,AP13 ,P1-FC-CO1-ST ,P1_FCV03D ,,23:38 ,131 ,
34 ,A220 ,AE03 ,P1-LC-CO-AVALGEN ,1002-14-AVALGEN.R1 ,,13:48 ,131 ,
35 ,A221 ,AE08 ,P1-HC-SP-LOWMON ,1004-21-LOWMON.R1 ,,14:58 ,82 ,
36 ,A222 ,AE01 ,P1-PC-CO-AVALGEN ,1001-09-AVALGEN.R1 ,,16:20 ,211 ,
37 ,A223 ,AE07 ,P1-CC-CO-FUNCTION ,1020-15-FUNCTION.S4 ,,17:38 ,79 ,
38 ,A224 ,AP14 ,P1-LC-SP1 ,P1_B3004 ,,,,
,,AP26 ,P2-SC-SP1 ,P2_AutoSD ,,18:45 ,107 ,
39 ,A225 ,AP16 ,P1-LC-CO1 ,P1_LCV01D ,Aug. "18," ,,,
,,AP32 ,P2-TC-SP1 ,P2_VTR01 ,2022 ,19:21 ,60 ,
40 ,A226 ,AP04 ,P1-PC-CO1 ,P1_PCV01D ,,,,
,,AP11 ,P1-FC-CO1 ,P1_FCV03D ,,20:32 ,118 ,
41 ,A227 ,AP09 ,P1-FC-SP1PV1 ,P1_B3005, P1_FT03 ,,,,
,,AP14 ,P1-LC-SP1 ,P1_B3004 ,,21:41 ,132 ,
42 ,A228 ,AP05 ,P1-PC-CO1PV1 ,P1_PCV01D, P1_PIT01 ,,,,
,,AP30 ,P2-SC-CO1PV1 ,P2_SCO, P2_SIT01 ,,23:15 ,155 ,
43 ,A229 ,AP45 ,P1-TC-SP1 ,P1_B4002 ,,1:23 ,,
,,AP01 ,P1-PC-SP1 ,P1_B2016 ,,,115 ,
44 ,A230 ,AP19 ,P1-TC-CO1 ,P1_FCV01D ,,,,
,,AP02 ,P1-PC-SP1PV1 ,P1_B2016, P1_PIT01 ,,2:43 ,154 ,
45 ,A231 ,AP08 ,P1-FC-SP1 ,P1_B3005 ,,,,
,,AP35 ,P3-LC-CO1 ,P3_LCP01D ,,4:34 ,95 ,
46 ,A232 ,AP45 ,P1-TC-SP1 ,P1_B4002 ,Aug. ,5:14 ,,
,,AP27 ,P2-SC-SP1PV1 ,P2_AutoSD, P2_SIT01 ,"19," ,,153 ,
47 ,A233 ,AP44 ,P1-LC-CO1PV1-LT ,P1_LCV01D, P1_LIT01 ,2022 ,6:46 ,,
,,AP47 ,P2-TC-SP2-LT ,P2_VTR02 ,,,2051 ,
48 ,A234 ,AP25 ,P1-CC-SP1-LT ,P1_PP04_SP ,,8:24 ,529 ,
49 ,A235 ,AE05 ,P1-TC-PV_FUNCTION1 ,1003-05-FUNCTION.T9 ,,9:27 ,86 ,
50 ,A236 ,AE06 ,P1-TC-PVFUNCTION2 ,OCB0004018.T6 ,,10:34 ,119 ,
51 ,A237 ,AE05 ,P1-PC-CO_FUNCTION ,OCB0002006.S5 ,,14:18 ,189 ,
52 ,A238 ,AE06 ,P1-LC-CO_FUNCTION ,1002-31-FUNCTION.S5 ,,14:51 ,122 ,


