No ,ID ,,Attack ,,Start ,Time ,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,,,(sec) ,
,,AP17 ,P1-LC-CO1PV1 ,P1_LCV01D, P1_LIT01 ,,,,
42 ,A408 ,AP05 ,P1-PC-CO1PV1 ,P1_PCV01D, P1_PIT01 ,,,,
,,AP17 ,P1-LC-CO1PV1 ,P1_LCV01D, P1_LIT01 ,,20:29 ,673 ,
43 ,A409 ,AP18 ,P1-LC-CO1-ST8 ,P1_LCV01D ,,,,
,,AP21 ,P1-TC-CO1-ST9 ,P1_FCV01D ,,22:41 ,63 ,
44 ,A410 ,AP11 ,P1-FC-CO1PV1 ,P1_FCV03D, P1_FT03 ,,01:07 ,,
,,AP27 ,P2-SC-SP1PV1 ,P2_AutoSD, P2_SIT01 ,,,179 ,
45 ,A411 ,AP23 ,P1-CC-CO1 ,P1_PP04 ,,03:35 ,,
,,AP34 ,P2-TC-SP3 ,P2_RTR ,,,99 ,
,A412 ,AP20 ,P1-TC-CO1PV1 ,P1_FCV01D, P1_TIT01 ,,04:02 ,156 ,
,,AP01 ,P1-PC-SP1 ,P1_B2016 ,,,,
47 ,A413 ,AP16 ,P1-LC-CO1 ,P1_LCV01D ,,,,
,,AP27 ,P2-SC-SP1PV1 ,P2_AutoSD, P2_SIT01 ,,04:59 ,153 ,
48 ,A414 ,AP33 ,P2-TC-SP2 ,P2_VTR02 ,,07:20 ,77 ,
,,AP36 ,P3-LC-CO1PV1 ,P3_LCP01D, P3_LIT01 ,,,,
49 ,A415 ,AP3 ,P2-TC-SP2 ,P2_VTR02 ,,09:17 ,77 ,
50 ,A416 ,AP12 ,P1-FC-CO1PV1PV2 ,P1_FCV03D, P1_FT03, P1_LIT01 ,,10:39 ,134 ,
51 ,A417 ,AP25 ,P1-CC-SP1-LT ,P1_PP04_SP. ,Jul. "16," ,11:22 ,544 ,
52 ,A418 ,AP01 ,P1-PC-SP1 ,P1_B2016 ,2021 ,13:23 ,,
,,AP14 ,P1-LC-SP1 ,P1_B3004 ,,,342 ,
53 ,A419 ,AP01 ,P1-PC-SP1 ,P1_B2016 ,,14:59 ,163 ,
,,AP35 ,P3-LC-CO1 ,P3_LCP01D ,,,,
54 ,A420 ,AP07 ,P1-PC-CO1-ST ,P1_PCV01D ,,15:57 ,89 ,
55 ,A421 ,AP30 ,P2-SC-CO1PV1 ,P2_SCO, P2_SIT01 ,,17:34 ,,
,,AP23 ,P1-CC-CO1 ,P1_PP04 ,,,152 ,
56 ,A422 ,AP02 ,P1-PC-SP1PV1 ,P1_B2016, P1_PIT01 ,,20:08 ,165 ,
,,AP26 ,P2-SC-SP1 ,P2_AutoSD ,,,,
57 ,A423 ,AP08 ,P1-FC-SP1 ,P1_B3005 ,,22:17 ,115 ,
,,AP29 ,P2-SC-CO1 ,P2_SCO ,,,,
58 ,A424 ,AP10 ,P1-FC-CO1 ,P1_FCV03D ,,23:05 ,86 ,
,,AP23 ,P1-CC-CO1 ,P1_PP04 ,,,,


