No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
153 ,DM-CIP-1ST ,- ,- ,- ,For maintenance ,,,
154 ,DM-CIP-2ND ,- ,- ,- ,For maintenance ,,,
155 ,DM-CIP-START ,- ,- ,- ,For maintenance ,,,
156 ,DM-CIP-STEP1 ,- ,- ,- ,For maintenance ,,,
157 ,DM-CIP-STEP11 ,- ,- ,- ,For maintenance ,,,
158 ,DM-CIPH-1ST ,- ,- ,- ,For maintenance ,,,
159 ,DM-CIPH-2ND ,- ,- ,- ,For maintenance ,,,
160 ,DM-CIPH-START ,- ,- ,- ,For maintenance ,,,
161 ,DM-CIPH-STEP1 ,- ,- ,- ,For maintenance ,,,
162 ,DM-CIPH-STEP11 ,- ,- ,- ,For maintenance ,,,
163 ,DM-COOL-ON ,- ,- ,- ,For maintenance ,,,
164 ,DM-COOL-R ,- ,- ,- ,For maintenance ,,,
165 ,DM-FCV01-D ,0 ,100 ,% ,Position command for the FCV01 valve ,,(P1_FCV01D) ,
166 ,DM-FCV01-Z ,0 ,100 ,% ,Current position of the FCV01 valve ,,(P1_FCV01Z) ,
167 ,DM-FCV02-D ,0 ,100 ,% ,Position command for the FCV02 valve ,,(P1_FCV02D) ,
168 ,DM-FCV02-Z ,0 ,100 ,% ,Current position of the FCV02 valve ,,(P1_FCV02Z) ,
169 ,DM-FCV03-D ,0 ,100 ,% ,Position command for the FCV03 valve ,,(P1_FCV03D) ,
170 ,DM-FCV03-Z ,0 ,100 ,% ,Current position of the FCV03 valve ,,(P1_FCV03Z) ,
171 ,DM-FT01 ,0 ,"2,500" ,mmH2O ,Measured flowrate of the return water tank ,,(P1_FT01) ,
172 ,DM-FT01Z ,0 ,"3,190" ,I/h ,Water inflow rate converted from P1_FT01 ,,(P1_FT01Z) ,
173 ,DM-FT02 ,0 ,"2,500" ,mmH2O ,Measured flowrate of heating water tank ,,(P1_FT02) ,
174 ,DM-FT02Z ,0 ,"3,190" ,I/h ,Water outflow rate conversion from P1_FT02 ,,(P1_FT02Z) ,
175 ,DM-FT03 ,0 ,"2,500" ,mmH2O ,Measured flowrate of the return water tank ,,(P1_FT03) ,
176 ,DM-FT03Z ,0 ,"3,190" ,I/h ,Water outflow rate converted from P1_FT03 ,,(P1_FT03Z) ,
177 ,DM-HT01-D ,0 ,1 ,Boolean ,Start command of heater ,,,
178 ,DM-LCV01-D ,0 ,100 ,% ,Position command for the LCV01 valve ,,(P1_LCV01D) ,
179 ,DM-LCV01-MIS ,0 ,1 ,Boolean ,Check point when the difference between DM-LCV01-D and DM-LCV01-Z exceeds 10 ,,,
180 ,DM-LCV01-Z ,0 ,100 ,% ,Current position of the LCV01 valve ,,(P1_LCV01Z) ,


