No ,ID ,,Attack ,,,,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,Start ,Time ,(sec) ,
9 ,A204 ,AP07 ,P1-FC-SP1PV1 ,P1_B3005, P1_FT03 ,,20:10 ,259 ,
10 ,A205 ,AP05 ,P1-PC-SP1-ST10 ,P1_B2016 ,,21:15 ,123 ,
11 ,A206 ,AP09 ,P1-FC-CO1PV1 ,P1_FCV03D, P1_FT03 ,,23:02 ,256 ,
12 ,A207 ,AP21 ,P2-TC-SP1 ,P2_VTR01 ,,01:08 ,68 ,
13 ,A208 ,AP12 ,P1-LC-SP1PV1 ,P1_B3004, P1_LIT01 ,,01:33 ,261 ,
14 ,A209 ,AP11 ,P1-LC-SP1 ,P1_B3004 ,,03:03 ,159 ,
15 ,A210 ,AP04 ,P1-PC-CO1PV1 ,P1_PCV01D, P1_PIT01 ,,05:29 ,421 ,
16 ,A211 ,AP20 ,P2-SC-SP1-ST5 ,P2_AutoSD ,,07:51 ,45 ,
17 ,A212 ,AP17 ,P2-SC-SP1PV1 ,P2_AutoSD, P2_SIT01 ,,09:13 ,152 ,
18 ,A213 ,AP14 ,P1-LC-CO1PV1 ,P1_LCV01D, P1_LIT01 ,Jul. "10," ,10:49 ,254 ,
19 ,A214 ,AP03 ,P1-PC-CO1 ,P1_PCV01D ,2020 ,12:51 ,152 ,
20 ,A215 ,AP19 ,P2-SC-CO1PV1 ,P2_SCO, P2_SIT01 ,,15:11 ,151 ,
21 ,A216 ,AP10 ,P1-FC-CO1-ST10 ,P1_FCV03D ,,15:40 ,65 ,
22 ,A217 ,AP23 ,P2-TC-SP3 ,P2_RTR ,,16:22 ,184 ,
23 ,A218 ,AP08 ,P1-FC-CO1 ,P1_FCV03D ,,18:21 ,99 ,
24 ,A219 ,AP24 ,P3-LC-CO1 ,P3_LCP01D ,,21:25 ,119 ,
25 ,A220 ,AP25 ,P3-LC-CO2 ,P2_LCV01D ,,22:56 ,119 ,
26 ,A301 ,AP15 ,P1-LC-CO1-ST ,P1_LCV01D ,,,,
,,AP06 ,P1-FC-SP1 ,P1_B3005 ,,13:51 ,132 ,
27 ,A302 ,AP02 ,P1-PC-SP1PV1 ,P1_B2016, P1_PIT01 ,,,,
,,AP06 ,P1-FC-SP1 ,P1_B3005 - ,,15:21 ,421 ,
28 ,A303 ,AP03 ,P1-PC-CO1 ,P1 PCV01D ,,,,
,,AP13 ,P1-LC-CO1 ,P1_LCV01D ,Jul. "13," ,18:11 ,189 ,
29 ,A304 ,AP16 ,P2-SC-SP1 ,P2_AutoSD ,2020 ,,,
,,AP21 ,P2-TC-SP1 ,P2_VTR01 ,,20:53 ,106 ,
30 ,A305 ,AP18 ,P2-SC-CO1 ,P2_SCO ,,,,
,,AP22 ,P2-TC-SP2 ,P2_VTR02 ,,21:23 ,84 ,
31 ,A306 ,AP01 ,P1-PC-SP1 ,P1_B2016 ,,,,
,,AP16 ,P2-SC-SP1 ,P2_AutoSD ,,23:55 ,238 ,
32 ,A307 ,AP08 ,P1-FC-CO1 ,P1_FCV03D ,,,,
,,AP21 ,P2-TC-SP1 ,P2_VTR01 ,Jul. "14," ,01:51 ,110 ,
33 ,A308 ,AP14 ,P1-LC-CO1PV1 ,P1_LCV01D, P1_LIT01 ,2020 ,,,
,,AP20 ,P2-SC-SP1-ST ,P2_AutoSD ,,03:53 ,255 ,
34 ,A401 ,AP03 ,P1-PC-CO1 ,P1_PCV01D ,Jul. "28," ,12:43 ,254 ,


