No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
209 ,DM-SOL02-D ,0 ,1 ,Boolean ,Open command of the return water tank (TK03) supply valve ,,,
210 ,DM-SOL03-D ,0 ,1 ,Boolean ,Open command of the main water tank (TK01) drain valve ,,(P1_SOL03D) ,
211 ,DM-SOL04-D ,0 ,1 ,Boolean ,Open command of the return water tank (TK03) drain valve ,,,
212 ,DM-SS01-RM ,0 ,1 ,Boolean ,Operation mode of the boiler DCS from control panel ,,,
213 ,DM-ST-SP ,0 ,1 ,Boolean ,Start/stop command of the boiler DCS ,,(P1_STSP) ,
214 ,DM-SW01-ST ,0 ,1 ,Boolean ,Start command of the boiler DCS from control panel ,,,
215 ,DM-SW02-SP ,0 ,1 ,Boolean ,Stop command of the boiler DCS from control panel ,,,
216 ,DM-SW03-EM ,0 ,1 ,Boolean ,Emergency command of the boiler DCS local control panel ,,,
217 ,DM-TIT01 ,-50 ,150 ,°C ,Heat-exchanger outlet temperature ,,(P1_ TIT01) ,
218 ,DM-TIT02 ,-50 ,150 ,°C ,Temperature of the heating water tank ,,(P1_TIT03) ,
219 ,DM-TWIT-03 ,-50 ,150 ,°C ,Temperature of the main water tank (TK01) ,,,
220 ,DM-TWIT-04 ,-50 ,150 ,°C ,Temperature of the return water tank (TK03) ,,,
221 ,DM-TWIT-05 ,-50 ,150 ,°C ,Temperature of the buffer water tank (TK04) ,,,
222 ,DQ03-LCV01-D ,0 ,1 ,Boolean ,Alarm when measured value of LCV01 exceeds 50% ,,,
223 ,DQ04-LCV01-DEV ,0 ,1 ,Boolean ,Point assignment from DQ04-LCV01-MIS ,,,
224 ,GATEOPEN ,0 ,10 ,- ,Gate opening rate of STM ,,(P4_ST_GOV) ,
225 ,PP04-SP-OUT ,0 ,40 ,°C ,Running temperature of cooling ,,,
,,,,TOTAL ,,225 ,35 ,


