No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
181 ,DM-LIT01 ,0 ,720 ,mm ,Water level of the return water tank ,,(P1_ LIT01) ,
182 ,DM-LSH-03 ,0 ,1 ,Boolean ,Level high alarm of Return water tank (TK03) ,,,
183 ,DM-LSH-04 ,0 ,1 ,Boolean ,Level high alarm of Buffer water tank (TK04) ,,,
184 ,DM-LSH01 ,0 ,1 ,Boolean ,Level high alarm of Main water tank (TK01) ,,,
185 ,DM-LSH02 ,0 ,1 ,Boolean ,Level high alarm of Heating water tank (TK02) ,,,
186 ,DM-LSL-04 ,0 ,1 ,Boolean ,Level low alarm of Buffer water tank (TK04) ,,,
187 ,DM-LSL01 ,0 ,1 ,Boolean ,Level low alarm of Main water tank (TK01) ,,,
188 ,DM-LSL02 ,0 ,1 ,Boolean ,Level low alarm of Heating water tank (TK02) ,,,
189 ,DM-PCV01-D ,0 ,100 ,% ,Position command for the PCV01 valve ,,(P1_PCV01D) ,
190 ,DM-PCV01-DEV ,0 ,1 ,Boolean ,Main pump discharge pressure control ,,,
191 ,DM-PCV01-Z ,0 ,100 ,% ,Current position of the PCV01 valve ,,(P1_PCV01Z) ,
192 ,DM-PCV02-D ,0 ,100 ,% ,Position command for the PCV2 valve ,,(P1_PCV02D) ,
193 ,DM-PCV02-Z ,0 ,100 ,% ,Current position of the PCV02 valve ,,(P1_PCV02Z) ,
194 ,DM-PIT01-HH ,0 ,10 ,bar ,Highest outlet pressure of the heat-exchanger ,,(P1_PIT01_HH) ,
195 ,DM-PIT01 ,0 ,10 ,bar ,Heat-exchanger outlet pressure ,,(P1_PIT01) ,
196 ,DM-PIT02 ,0 ,10 ,bar ,Water supply pressure of the heating water pump ,,(P1_PIT02) ,
197 ,DM-PP01-R ,0 ,1 ,Boolean ,Running state of the boiler process ,,,
198 ,DM-PP01A-D ,0 ,1 ,Boolean ,Start command of the main water pump PP01A ,,(P1_PP01AD) ,
199 ,DM-PP01A-R ,0 ,1 ,Boolean ,Running state of the main water pump PP01A ,,(P1_PP01AR) ,
200 ,DM-PP01B-D ,0 ,1 ,Boolean ,Start command of the main water pump PP01B ,,(P1_PP01BD) ,
201 ,DM-PP01B-R ,0 ,1 ,Boolean ,Running state of the main water pump PP01B ,,(P1_PP01BR) ,
202 ,DM-PP02-D ,0 ,1 ,Boolean ,Start command of the heating water pump PP02 ,,(P1_PP02D) ,
203 ,DM-PP02-R ,0 ,1 ,Boolean ,Running state of the heating water pump PP02 ,,(P1_PP02R) ,
204 ,DM-PP04-AO ,0 ,100 ,Hz ,Speed of the cooling water pump PP04 ,,,
205 ,DM-PP04-D ,0 ,1 ,Boolean ,Start command of the cooling water pump PP04 ,,,
206 ,DM-PP04-SV ,- ,- ,- ,For maintenance ,,,
207 ,DM-PWIT-03 ,0 ,10 ,bar ,Pressure of the heating water tank (TK02) ,,,
208 ,DM-SOL01-D ,0 ,1 ,Boolean ,Open command of the main water tank (TK01) supply valve ,,(P1_ _SOL01D) ,


