No ,ID ,,Attack ,,Start ,Time ,Duration ,
,,Scenario ,Target Controller ,Target Point(s) ,,,(sec) ,
3 ,A103 ,AP14 ,P1-LC-CV1PV1 ,P1_LCV01D, P1_LIT01 ,,15:45 ,868 ,
4 ,A104 ,AP06 ,P1-FC-SP1 ,P1_B3005 ,,16:30 ,262 ,
5 ,A105 ,AP11 ,P1-LC-SP1 ,P1_B3004 ,,08:50 ,371 ,
6 ,A106 ,AP01 ,P1-PC-SP1 ,P1_B2016 ,,09:40 ,334 ,
7 ,A107 ,AP02 ,P1-PC-SP1PV1 ,P1_B2016, P1_PIT01 ,,10:35 ,504 ,
8 ,A108 ,AP03 ,P1-PC-CV1 ,P1_PCV01D ,Oct. "30," ,11:37 ,268 ,
9 ,A109 ,AP04 ,P1-PC-CV1PV1 ,P1_PCV01D, P1_PIT01 ,2019 ,12:30 ,518 ,
10 ,A110 ,AP17 ,P2-SC-SP1PV1 ,P2_SD01, P2_SIT01 ,,14:30 ,370 ,
11 ,A111 ,AP26 ,P3-LC-SP1CV1 ,P3_LH01, P3_LCP01 ,,15:35 ,180 ,
12 ,A112 ,AP27 ,P3-LC-SP2CV2 ,P3_LL01, P3_LCV01 ,,16:33 ,154 ,
13 ,A113 ,AP16 ,P2-SC-SP1 ,P2_SD01 ,,08:42 ,348 ,
14 ,A114 ,AP17 ,P2-SC-SP1PV1 ,P2_SD01, P2_SIT01 ,,10:30 ,,
,,AP02 ,P1-PC-SP1PV1 ,P1_B2016, P1_PIT01 ,,,518 ,
15 ,A115 ,AP16 ,P2-SC-SP1 ,P2_SD01 ,,,,
,,AP03 ,P1-PC-CV1 ,P1_PCV01D ,,11:33 ,346 ,
16 ,A116 ,AP17 ,P2-SC-SP1PV1 ,P2_SD01, P2_SIT01 ,Oct. "31," ,13:25 ,368 ,
17 ,A117 ,AP17 ,P2-SC-SP1PV1 ,P2_SD01, P2_SIT01 ,2019 ,,,
,,AP14 ,P1-LC-CV1PV1 ,P1_LCV01D, P1_LIT01 ,,14:30 ,396 ,
18 ,A118 ,AP16 ,P2-SC-SP1 ,P2_SD01 ,,,,
,,AP06 ,P1-FC-SP1 ,P1_B3005 ,,15:41 ,348 ,
19 ,A119 ,AP26 ,P3-LC-SP1CV1 ,P3_LH01, P3_LCP01 ,,16:29 ,,
,,AP01 ,P1-PC-SP1 ,P1_B2016 ,,,398 ,
20 ,A201 ,AP26 ,P3-LC-SP1CV1 ,P3_LH01, P3_LCP01 ,,,,
,,AP12 ,P1-LC-SP1PV1 ,P1_B3004, P1_LIT01 ,,09:29 ,560 ,
21 ,A202 ,AP26 ,P3-LC-SP1CV1 ,P3_LH01, P3_LCP01 ,Nov. "1," ,10:41 ,,
,,AP13 ,P1-LC-CV1 ,P1_LCV01D ,2019 ,,310 ,
22 ,A203 ,AP26 ,P3-LC-SP1CV1 ,P3_LH01, P3_LCP01 ,,11:23 ,180 ,
23 ,A204 ,AP11 ,P1-LC-SP1 ,P1_B3004 ,,12:31 ,506 ,


