No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
69 ,1004.76-OUT ,- ,X - ,X - ,Output of 1004.76 ,,,
70 ,1004.78-OUT ,- ,- ,X - ,Output of 1004.78 ,X ,,
71 ,1004.79-OUT ,- ,X - ,X - ,Output of 1004.79 ,,,
72 ,1004.80-OUT ,- ,- ,X - ,Output of 1004.80 ,X ,,
73 ,1010.02-OUT ,- ,- ,X - ,Output of 1010.02 ,X ,,
74 ,1010.03-OUT ,- ,X - ,X - ,Output of 1010.03 ,X ,,
75 ,1010.04-OUT ,- ,- ,X - ,Output of 1010.04 ,X ,,
76 ,1010.05-OUT1 ,- ,X - ,X - ,Output of 1010.05 ,,,
77 ,1010.05-OUT2 ,- ,X - ,X - ,Output of 1010.05 ,X ,,
78 ,1010.05-OUT3 ,- ,X - ,X - ,Output of 1010.05 ,X ,,
79 ,1010.05-OUT4 ,- ,X - ,X - ,Output of 1010.05 ,X ,,
80 ,1010.07-OUT ,- ,- ,X - ,Output of 1010.07 ,X ,,
81 ,1010.08-OUT ,- ,X ,X - ,Output of 1010.08 ,X ,,
82 ,1010.09-OUT ,- ,- ,X - ,Output of 1010.09 ,,,
83 ,1010.10-OUT ,- ,X - ,X - ,Output of 1010.10 ,,,
84 ,1010.11-OUT ,- ,X - ,X - ,Output of 1010.11 ,X ,,
85 ,1010.12-OUT1 ,- ,X - ,X - ,Output of 1010.12 ,X ,,
86 ,1010.12-OUT2 ,- ,X - ,X - ,Output of 1010.12 ,,,
87 ,1010.16-OUT ,- ,X - ,X - ,Output of 1010.16 ,X ,,
88 ,1010.17-OUT ,- ,X - ,X - ,Output of 1010.17 ,X ,,
89 ,1010.19-OUT ,- ,- ,X - ,Output of 1010.19 ,X ,,
90 ,1010.23-OUT ,- ,X - ,X - ,Output of 1010.23 ,,,
91 ,1010.30-OUT ,- ,X - ,X - ,Output of 1010.30 ,X ,,
92 ,1010.31-OUT ,- ,X - ,X - ,Output of 1010.31 ,X ,,
93 ,1010.33-OUT ,- ,X - ,X - ,Output of 1010.33 ,X ,,
94 ,1010.35-OUT ,- ,X - ,X - ,Output of 1010.35 ,X ,,
95 ,1010.38-OUT ,- ,X - ,X - ,Output of 1010.38 ,X ,,
96 ,1010.39-OUT ,- ,X - ,- ,Output of 1010.39 ,X ,,


