No ,Name ,,Range ,Unit ,Description ,,HAI ,,
,,Min ,Max ,,,20.07 ,21.03 ,22.04 23.05 ,
23 ,P1_LIT01 ,0 ,720 ,mm ,Water level of the return water tank ,,X ,,
24 ,P1_PCV01D ,0 ,100 ,% ,Position command for the PCV01 valve ,X ,X ,,
25 ,P1 PCV01Z ,0 ,100 ,% ,Current position of the PCV01 valve ,X ,X ,,
26 ,P1_PCV02D ,0 ,100 ,% ,Position command for the PCV2 valve ,X ,X ,,
27 ,P1_PCV02Z ,0 ,100 ,% ,Current position of the PCV02 valve ,X ,X ,X ,
28 ,P1_PIT01 ,0 ,10 ,bar ,Heat-exchanger outlet pressure ,X ,X ,X ,
29 ,P1_PIT01_HH ,0 ,10 ,bar ,Highest outlet pressure of the heat-exchanger ,,,X ,
30 ,P1_PIT02 ,0 ,10 ,bar ,Water supply pressure of the heating water pump ,X ,X ,X ,
31 ,P1_PP01AD ,0 ,1 ,Boolean ,Start command of the main water pump PP01A ,,X ,X ,
32 ,P1_PP01AR ,0 ,1 ,Boolean ,Running state of the main water pump PP01A ,,X ,X ,
33 ,P1_PP01BD ,0 ,1 ,Boolean ,Start command of the main water pump PP01B ,,X ,X ,
34 ,P1_PP01BR ,0 ,1 ,Boolean ,Running state of the main water pump PP01B ,,X ,X ,
35 ,P1_PP02D ,0 ,1 ,Boolean ,Start command of the heating water pump PP02 ,,X ,X ,
36 ,P1_PP02R ,0 ,1 ,Boolean ,Running state of the heating water pump PP02 ,,X ,X ,
37 ,P1_PP04 ,0 ,100 ,% ,Control out of the cooler pump ,,,X ,
38 ,P1_PP04SP ,0 ,100 ,°C ,Cooler temperature setpoint ,,,X ,
39 ,P1_SOL01D ,0 ,1 ,Boolean ,Open command of the main water tank supply valve ,,,X ,
40 ,P1_SOL03D ,0 ,1 ,Boolean ,Open command of the main water tank drain valve ,,,X ,
41 ,P1_STSP ,0 ,1 ,Boolean ,Start/stop command of the boiler DCS ,,X ,X ,
42 ,P1_TIT01 ,-50 ,150 ,°C ,Heat-exchanger outlet temperature ,X ,X ,X ,
43 ,P1_TIT02 ,-50 ,150 ,°C ,Temperature of the heating water tank ,X ,X ,X ,
44 ,P1_TIT03 ,-50 ,150 ,°C ,Temperature of the main water tank ,,,X ,
45 ,P2_24Vdc ,0 ,30 ,Voltage ,DCS 24V Input Voltage ,X ,X ,X ,
46 ,P2_ATSW_Lamp ,0 ,1 ,Boolean ,Lamp of the Auto SW ,,,X ,
47 ,P2_AutoGo ,0 ,1 ,Boolean ,Auto start button ,X (Auto) ,X ,X ,
48 ,P2_AutoSD ,0 ,"3,200" ,RPM ,Auto speed demand ,X (SD01) ,X ,X ,
49 ,P2_Emerg ,0 ,1 ,Boolean ,Emergency button ,X (Emgy) ,X ,X ,
50 ,P2_MASW ,0 ,1 ,Boolean ,Manual(1)/Auto(0) SW ,,,X ,


