No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
97 ,1010.41-OUT ,- ,X - ,X - ,Output of 1010.41 ,,,
98 ,1010.42-OUT ,- ,- ,X - ,Output of 1010.42 ,X ,,
99 ,1010.44-OUT ,- ,X - ,X - ,Output of 1010.44 ,,,
100 ,1010.46-OUT ,- ,,X - ,Output of 1010.46 ,X ,,
101 ,1010.47-OUT ,- ,X - ,X - ,Output of 1010.47 ,X ,,
102 ,1010.50-OUT ,- ,- ,X - ,Output of 1010.50 ,X ,,
103 ,1010.54-OUT ,- ,X - ,X - ,Output of 1010.54 ,X ,,
104 ,1010.56-OUT ,- ,X - ,X - ,Output of 1010.56 ,X ,,
105 ,1011.02-OUT ,- ,X - ,X - ,Output of 1011.02 ,X ,,
106 ,1011.03-OUT ,- ,X - ,X - ,Output of 1011.03 ,X ,,
107 ,1011.04-OUT ,- ,X ,X - ,Output of 1011.04 ,X ,,
108 ,1011.05-OUT1 ,- ,- ,X - ,Output of 1011.05 ,X ,,
109 ,1011.05-OUT2 ,- ,X ,X - ,Output of 1011.05 ,X ,,
110 ,1011.05-OUT3 ,- ,- ,X - ,Output of 1011.05 ,X ,,
111 ,1011.05-OUT4 ,- ,X - ,X - ,Output of 1011.05 ,X ,,
112 ,1011.07-OUT ,- ,- ,X - ,Output of 1011.07 ,X ,,
113 ,1011.08-OUT ,- ,X - ,X - ,Output of 1011.08 ,X ,,
114 ,1011.09-OUT ,- ,X - ,X - ,Output of 1011.09 ,X ,,
115 ,1011.10-OUT ,- ,- ,X - ,Output of 1011.10 ,X ,,
116 ,1011.11-OUT ,- ,X ,X - ,Output of 1011.11 ,X ,,
117 ,1011.12-OUT1 ,- ,- ,X - ,Output of 1011.12 ,X ,,
118 ,1011.12-OUT2 ,- ,X ,X - ,Output of 1011.12 ,X ,,
119 ,1011.16-OUT ,- ,X - ,X - ,Output of 1011.16 ,X ,,
120 ,1011.17-OUT ,- ,- ,X - ,Output of 1011.17 ,X ,,
121 ,1011.19-OUT ,- ,- ,X - ,Output of 1011.19 ,X ,,
122 ,1011.23-OUT ,- ,- ,X - ,Output of 1011.23 ,X ,,
123 ,1011.30-OUT ,- ,X - ,X - ,Output of 1011.30 ,X ,,
124 ,1011.31-OUT ,- ,- ,X - ,Output of 1011.31 ,X ,,


