Scenario ,,Target ,,Description ,,HAI ,,,
,Controller ,Variable ,Point ,,20.07 ,21.03 ,22.04 ,23.05 ,
,,SP1 ,P1_B3005 ,Decrease or increase SP value of P1-FC. Restore as a form of a trapezoidal profile while hiding SP changes in HMI ,,,,,
AP10 ,P1-FC ,PV1 ,P1 FT03 ,Attempt to maintain previous sensor value. ,,,X ,X ,
,,PV2 ,P1 LITO1 ,Attempt to maintain previous sensor value. ,,,,,
AP11 ,P1-FC ,CV1 ,P1_FCV03D ,Decrease or increase CV value of P1-FC. Restore in form of trapezoidal profile. ,,X ,X ,X ,
AP12 ,P1-FC ,CV1 ,P1_FCV03D ,Decrease or increase CV value of P1-FC. Restore to normal. ,,X ,X ,X ,
,,PV1 ,P1_FT03 ,Attempt to maintain previous sensor value. ,,,,,
AP13 ,P1-FC ,CV1-ST ,P1 FCV03D ,Short-term (ST) attack that decrease or increase CV value of P1-FC for a few seconds and restores to normal. Repeat several times while hiding SP changes in HMI. ,,X ,X ,X ,
AP14 ,P1-LC ,SP1 ,P1_B3004 ,Decrease or increase SP value of P1-LC. Restore as a form of a trapezoidal profile while hiding SP changes in HMI. ,X ,X ,X ,X ,
AP15 ,P1-LC ,SP1 ,P1_B3004 ,Decrease or increase SP value of P1-LC. Restore as a form of a trapezoidal profile while hiding SP changes in HMI. ,X ,X ,X ,X ,
,,PV1 ,P1_LIT01 ,Attempt to repeat previous sensor value. ,,,,,
AP16 ,P1-LC ,CV1 ,P1_LCV01D ,Decrease or increase CV value of P1-LC. Restore to normal. ,X ,X ,X ,X ,
AP17 ,P1-LC ,CV1 ,P1_LCV01D ,Decrease or increase CV value of P1-LC. Restore to normal. ,X ,X ,X ,X ,
,,PV1 ,P1_LIT01 ,Attempt to repeat previous sensor value. ,,,,,
AP18 ,P1-LC ,CV1-ST ,P1_LCV01D ,Short-term (ST) attack that decrease or increase CV value of P1-LC for a few seconds and restores to normal. Repeat several times while hiding SP changes in HMI. ,,X ,X ,X ,
AP19 ,P1-TC ,CV1 ,P1_FCV01D ,Decrease or increase CV value of P1-TC. Restore to normal. ,,,X ,X ,
AP20 ,P1-TC ,CV1 ,P1_FCV01D ,Decrease or increase CV value of P1-TC. Restore to normal. ,,,X ,X ,
,,PV1 ,P1_TIT01 ,Attempt to repeat previous sensor value. ,,,,,
AP21 ,P1-TC ,CV1-ST ,P1_FCV01D ,Short-term (ST) attack that decrease or increase CV value of P1-TC for a few seconds and restores to normal. Repeat several times while hiding SP changes in HMI. ,,,X ,X ,
AP22 ,P1-TC ,SP1-LT ,P1_B4002 ,Long-term (LT) attack that decrease or increase SP value of P1-TC continuously for more than 10 minutes and restores to normal. ,,,X ,X ,
AP23 ,P1-CC ,CV1 ,P1_PP04 ,Decrease or increase CV value of P1-CC. Restore to normal. ,,,X ,X ,
AP24 ,P1-CC ,CV1-ST ,P1_PP04 ,Short-term (ST) attack that decrease or increase CV value of P1-CC for a few seconds ,,,X ,X ,


