No ,Name ,,Range ,Unit ,Description ,,HAI ,,
,,Min ,Max ,,,20.07 ,21.03 ,22.04 23.05 ,
1 ,P1_B2004 ,0 ,10 ,bar ,Heat-exchanger outlet pressure setpoint ,X ,X ,,
2 ,P1_B2016 ,0 ,10 ,bar ,Pressure demand for thermal power output control ,X ,X ,X ,
3 ,P1 B3004 ,0 ,720 ,mm ,Water level setpoint (return water tank) ,X ,X ,X ,
4 ,P1_B3005 ,0 ,"2,500" ,I/h ,Discharge flowrate setpoint (return water tank) ,X ,X ,X ,
5 ,P1_B4002 ,0 ,100 ,°C ,Heat-exchanger outlet temperature setpoint ,X ,X ,X ,
6 ,P1_B4005 ,0 ,100 ,% ,Temperature PID control output ,X ,X ,X ,
7 ,P1_B400B ,0 ,"2,500" ,I/h ,Water outflow rate setpoint (heating water tank) ,X ,X ,X ,
8 ,P1_B4022 ,0 ,40 ,°C ,Temperature demand for thermal power output control ,X ,X ,X ,
9 ,P1_FCV01D ,0 ,100 ,% ,Position command for the FCV01 valve ,X ,X ,X ,
10 ,P1_FCV01Z ,0 ,100 ,% ,Current position of the FCV01 valve ,X ,X ,X ,
11 ,P1_FCV02D ,0 ,100 ,% ,Position command for the FCV02 valve ,X ,X ,X ,
12 ,P1_FCV02Z ,0 ,100 ,% ,Current position of the FCV02 valve ,X ,X ,X ,
13 ,P1_FCV03D ,0 ,100 ,% ,Position command for the FCV03 valve ,X ,X ,X ,
14 ,P1_FCV03Z ,0 ,100 ,% ,Current position of the FCV03 valve ,X ,X ,X ,
15 ,P1_FT01 ,0 ,"2,500" ,mmH2O ,Measured flowrate of the return water tank ,X ,X ,X ,
16 ,P1_FT01Z ,0 ,"3,190" ,I/h ,Water inflow rate converted from P1 FT01 ,X ,X ,X ,
17 ,P1_FT02 ,0 ,"2,500" ,mmH2O ,Measured flowrate of heating water tank ,X ,X ,X ,
18 ,P1_FT02Z ,0 ,"3,190" ,I/h ,Water outflow rate conversion from P1_FT02 ,X ,X ,X ,
19 ,P1_FT03 ,0 ,"2,500" ,mmH2O ,Measured flowrate of the return water tank ,X ,X ,X ,
20 ,P1_FT03Z ,0 ,"3,190" ,I/h ,Water outflow rate converted from P1_FT03 ,X ,X ,X ,
21 ,P1_LCV01D ,0 ,100 ,% ,Position command for the LCV01 valve ,X ,X ,X ,
22 ,P1_LCV01Z ,0 ,100 ,% ,Current position of the LCV01 valve ,X ,X ,X ,


