No ,Name ,,Range ,Unit ,Description ,HAIEnd ,HAI ,
,,Min ,Max ,,,23.05 ,23.05 ,
41 ,1003.23-OUT ,- ,X - ,X - ,Output of 1003.23 ,,,
42 ,1003.24-OUT ,- ,- ,X - ,Output of 1003.24 ,X ,,
43 ,1003.25-OUT ,- ,X - ,X - ,Output of 1003.25 ,,,
44 ,1003.26-OUT ,- ,X - ,X - ,Output of 1003.26 ,X ,,
45 ,1003.27-OUT ,- ,- ,X - ,Output of 1003.27 ,X ,,
46 ,1003.29-OUT ,- ,X - ,X - ,Output of 1003.29 ,X ,,
47 ,1003.30-OUT ,- ,- ,X - ,Output of 1003.30 ,,,
48 ,1004.11-OUT1 ,- ,X - ,X - ,Output of 1004.11 ,,,
49 ,1004.11-OUT2 ,- ,X - ,X - ,Output of 1004.11 ,X ,,
50 ,1004.12-OUT1 ,- ,X - ,X - ,Output of 1004.12 ,X ,,
51 ,1004.12-OUT2 ,- ,X - ,X - ,Output of 1004.12 ,X ,,
52 ,1004.13-OUT ,- ,X - ,X - ,Output of 1004.13 ,X ,,
53 ,1004.15-OUT1 ,- ,X - ,X - ,Output of 1004.15 ,X ,,
54 ,1004.15-OUT2 ,- ,- ,X - ,Output of 1004.15 ,,,
55 ,1004.18-OUT1 ,- ,X - ,X - ,Output of 1004.18 ,,,
56 ,1004.18-OUT2 ,- ,X - ,X - ,Output of 1004.18 ,X ,,
57 ,1004.21-OUT ,- ,X - ,X - ,Output of 1004.21 ,X ,,
58 ,1004.24-OUT ,- ,X - ,X - ,Output of 1004.24 ,,,
59 ,1004.29-OUT ,- ,X - ,X - ,Output of 1004.29 ,X ,,
60 ,1004.36-OUT ,- ,X - ,X - ,Output of 1004.36 ,X ,,
61 ,1004.37-OUT ,- ,- ,X - ,Output of 1004.37 ,X ,,
62 ,1004.38-OUT ,- ,X - ,X - ,Output of 1004.38 ,,,
63 ,1004.39-OUT ,- ,X - ,X - ,Output of 1004.39 ,X ,,
64 ,1004.41-OUT ,- ,X - ,X - ,Output of 1004.41 ,X ,,
65 ,1004.44-OUT ,- ,X - ,X - ,Output of 1004.44 ,X ,,
66 ,1004.52-OUT ,- ,X - ,X - ,Output of 1004.52 ,X ,,
67 ,1004.53-OUT ,- ,X - ,X - ,Output of 1004.53 ,X ,,
68 ,1004.62-OUT ,- ,X - ,- ,Output of 1004.62 ,X ,,


